,names,main_category,keywords,ratings
917,광교산,자연 / 공원,산,4.697368421052632
918,삼성궁,자연 / 공원,아트뮤지엄,4.625
919,대구 옻골마을,자연 / 공원,"역사적인 장소, 인근 지역, 유서 깊은 산책로",4.166666666666667
920,칠곡호국평화기념관,자연 / 공원,"즐길거리 & 랜드마크, 기념비 및 동상",4.5
921,씨네팰리스,투어,전문 박물관,4.5
922,검봉산 자연휴양림,투어,산,5.0
923,국망봉 자연휴양림,투어,산림,4.5
924,워터파크 스파밸리,투어,테마 파크,4.833333333333333
925,낙동강하구아미산전망대,투어,전망대 & 타워,4.625
926,평화광장,투어,"부두 & 보드워크, 경관이 좋은 산책로, 분수대",4.285714285714286
927,무등산 증심사,투어,신성한 & 종교적인 장소,4.608695652173913
928,잠월미술관,투어,전문 박물관,4.5
929,의암호 스카이워크,투어,전망대 & 타워,4.5
930,월드컵 경기장,투어,아레나 & 경기장,4.3875
931,평화의 소녀상,투어,기념비 및 동상,5.0
932,능파대,투어,지층,4.5
933,안국사,투어,신성한 & 종교적인 장소,4.666666666666667
934,동성로,투어,즐길거리 & 랜드마크,5.0
935,평화의 소녀상,투어,기념비 및 동상,4.0
936,대청호자연생태관,투어,전문 박물관,4.605263157894737
937,쌍 폭포,투어,폭포,5.0
938,대각사,투어,"건축물, 신성한 & 종교적인 장소",4.2
939,경기도 박물관,투어,전문 박물관,4.5
940,함평 엑스포 공원 - 나비곤충생태관,투어,"전문 박물관, 즐길거리 & 랜드마크",5.0
941,United Nations Peace Memorial Hall,투어,"군사 박물관, 역사박물관",4.625
942,광희 패션몰,투어,쇼핑몰,4.53125
943,나주 목사내아,투어,"역사적인 장소, 즐길거리 & 랜드마크",4.0
944,한국관광공사 관광안내전시관,투어,관광센터,4.661538461538462
945,이기대 섭자리,투어,물길,4.75
946,군위 아미타여래삼존 석굴,투어,"역사적인 장소, 신성한 & 종교적인 장소",4.833333333333333
947,프라움 악기박물관,투어,전문 박물관,4.428571428571429
948,아바이마을 갯배,교통편,페리,4.544117647058823
949,보문산,교통편,산,4.75
950,남해유배문학관,교통편,전문 박물관,4.5
951,이순신영상관,교통편,역사박물관,4.375
952,제주 유리 박물관,교통편,전문 박물관,4.461956521739131
